u_conn_sample_id,usgs_sample_id,site,year,sample_type,media,environment,family,lifestage,per_n,per_c,d15n,d13c
Rat_BF1_421,PFAS019,Ratlum Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.4,11.4,3.8,-27.2
Rat_BF2_421,PFAS020,Ratlum Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,3.3,24.7,3.6,-28.5
Rat_BF3_421,PFAS021,Ratlum Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.9,16.1,3.5,-28.7
Rat_BF1_J23,PFAS022,Ratlum Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.8,13.5,4.4,-26.7
Rat_BF2_J23,PFAS023,Ratlum Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.7,14.9,3.5,-25.4
Rat_BF3_J23,PFAS024,Ratlum Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.4,14.1,3.4,-25.3
Burr_BF1_427,PFAS025,Burr Pond Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.6,12.3,4.6,-24.2
Burr_BF2_427,PFAS026,Burr Pond Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,0.8,5.9,5.2,-24.9
Burr_BF3_427,PFAS027,Burr Pond Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,0.6,5.5,4.2,-26.7
Burr_BF1_J23,PFAS028,Burr Pond Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,0.6,5.2,4,-24
Burr_BF2_J23,PFAS029,Burr Pond Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,0.9,6.9,5.3,-24.8
Burr_BF3_J23,PFAS030,Burr Pond Brook,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.6,10.7,4.6,-22
HB_BF1_603,PFAS031,Hop Brook,2022,Biofilm,Biofilm,Aquatic,NA,NA,0.7,8.7,3.1,-28.5
HB_BF2_603,PFAS032,Hop Brook,2022,Biofilm,Biofilm,Aquatic,NA,NA,0.5,6.4,3.9,-28.5
RB_BF2_end,PFAS037,Russell Brook,2022,Biofilm,Biofilm,Aquatic,NA,NA,0.9,5.8,5.7,-33.1
RB_BF3_end,PFAS038,Russell Brook,2022,Biofilm,Biofilm,Aquatic,NA,NA,1.3,8.2,4.7,-33.1
HB_BF1_end,PFAS039,Hop Brook,2022,Biofilm,Biofilm,Aquatic,NA,NA,0.1,1.3,4.4,-28.6
Peq_BF1_J23,PFAS041,Pequabuck River,2023,Biofilm,Biofilm,Aquatic,NA,NA,0.5,4.1,8.6,-29.8
Peq_BF2_J23,PFAS042,Pequabuck River,2023,Biofilm,Biofilm,Aquatic,NA,NA,0.5,5.3,8.8,-29
Peq_BF1_424,PFAS050,Pequabuck River,2023,Biofilm,Biofilm,Aquatic,NA,NA,2.5,17.6,9.4,-22.8
Peq_BF2_424,PFAS051,Pequabuck River,2023,Biofilm,Biofilm,Aquatic,NA,NA,2.8,19.3,9.2,-22
Peq_BF3_424,PFAS052,Pequabuck River,2023,Biofilm,Biofilm,Aquatic,NA,NA,1.1,7.5,9.9,-24
RB_Odo,PFAS065,Russell Brook,2022,Larval_Odonata,Invertebrate,Aquatic,Odonata,Larval,9.9,50.5,6.8,-30
RB_E_eph,PFAS066,Russell Brook,2022,Emergent_Ephemeroptera,Invertebrate,Terrestrial,Ephemeroptera,Adult,11.5,54.5,8.4,-35.9
Peq_Eph_L,PFAS067,Pequabuck River,2023,Larval_Ephemeroptera,Invertebrate,Aquatic,Ephemeroptera,Larval,5.2,36,11.1,-28
Peq_Plec_L,PFAS068,Pequabuck River,2023,Larval_Plecoptera,Invertebrate,Aquatic,Plecoptera,Larval,10.3,50.6,14.4,-24.9
Peq_Trich_L,PFAS069,Pequabuck River,2023,Larval_Trichoptera,Invertebrate,Aquatic,Trichoptera,Larval,9.3,50.5,11.7,-27.6
Peq_Eph_A,PFAS070,Pequabuck River,2023,Emergent_Ephemeroptera,Invertebrate,Terrestrial,Ephemeroptera,Adult,9.7,52.2,12.5,-29
Peq_Pleco_A,PFAS071,Pequabuck River,2023,Emergent_Plecoptera,Invertebrate,Terrestrial,Plecoptera,Adult,10.2,54.1,13.5,-26.4
Peq_Trich_A,PFAS072,Pequabuck River,2023,Emergent_Trichoptera,Invertebrate,Terrestrial,Trichoptera,Adult,10,53.8,15.5,-26
Peq_Dipt_A,PFAS073,Pequabuck River,2023,Emergent_Diptera,Invertebrate,Terrestrial,Diptera,Adult,11.5,48.1,13.2,-24.6
Peq_Dipt_L-1,PFAS074,Pequabuck River,2023,Larval_Diptera,Invertebrate,Aquatic,Diptera,Larval,9,42.8,10.6,-25.8
Peq_Dipt_L-2,PFAS075,Pequabuck River,2023,Larval_Diptera,Invertebrate,Aquatic,Diptera,Larval,11,48.4,10.4,-25.3
Peq_Odo_L,PFAS076,Pequabuck River,2023,Larval_Odonata,Invertebrate,Aquatic,Odonata,Larval,9.2,38.9,8.4,-25.2
Rat_Eph_L,PFAS077,Ratlum Brook,2023,Larval_Ephemeroptera,Invertebrate,Aquatic,Ephemeroptera,Larval,8.9,45.6,4.5,-28.1
Rat_Eph_L-2,PFAS078,Ratlum Brook,2023,Larval_Ephemeroptera,Invertebrate,Aquatic,Ephemeroptera,Larval,9.6,47.5,4.6,-27.9
Rat_Odo_L,PFAS079,Ratlum Brook,2023,Larval_Odonata,Invertebrate,Aquatic,Odonata,Larval,10.9,47.1,4.9,-25.9
Rat_Dipt_L-1,PFAS080,Ratlum Brook,2023,Larval_Diptera,Invertebrate,Aquatic,Diptera,Larval,10.9,49.6,1.2,-27.4
Rat_Trich_A,PFAS082,Ratlum Brook,2023,Emergent_Trichoptera,Invertebrate,Terrestrial,Trichoptera,Adult,11,53.3,8.2,-24.8
Rat_Trich_L,PFAS083,Ratlum Brook,2023,Larval_Trichoptera,Invertebrate,Aquatic,Trichoptera,Larval,10.2,47.2,5.6,-29
Rat_Pleco_L,PFAS084,Ratlum Brook,2023,Larval_Plecoptera,Invertebrate,Aquatic,Plecoptera,Larval,11.1,47.9,6.8,-22
Rat_Dipt_A,PFAS085,Ratlum Brook,2023,Emergent_Diptera,Invertebrate,Terrestrial,Diptera,Adult,11.5,48.7,5,-25.5
Rat_Pleco_A-1,PFAS086,Ratlum Brook,2023,Emergent_Plecoptera,Invertebrate,Terrestrial,Plecoptera,Adult,9.8,46.2,6,-25.7
Rat_Pleco_A-2,PFAS087,Ratlum Brook,2023,Emergent_Plecoptera,Invertebrate,Terrestrial,Plecoptera,Adult,10,48.2,6.3,-25.9
Rat_Eph_A,PFAS088,Ratlum Brook,2023,Emergent_Ephemeroptera,Invertebrate,Terrestrial,Ephemeroptera,Adult,10.3,54.6,6,-23.6
HB_Plec,PFAS089,Hop Brook,2022,Larval_Plecoptera,Invertebrate,Aquatic,Plecoptera,Larval,12.2,48.1,8.2,-27
HB_Ephemero,PFAS090,Hop Brook,2022,Emergent_Ephemeroptera,Invertebrate,Terrestrial,Ephemeroptera,Adult,10.6,49.2,6.3,-27.6
HB_Odonata3,PFAS091,Hop Brook,2022,Emergent_Odonata,Invertebrate,Terrestrial,Odonata,Adult,11.9,49.8,8.9,-27.2
HB_Odonata3,PFAS092,Hop Brook,2022,Emergent_Odonata,Invertebrate,Terrestrial,Odonata,Adult,11.8,50.7,9,-27.2
HB_Trichoptera,PFAS093,Hop Brook,2022,Larval_Trichoptera,Invertebrate,Aquatic,Trichoptera,Larval,8.6,46.1,7.1,-30.8
HB_E_Dip,PFAS094,Hop Brook,2022,Emergent_Diptera,Invertebrate,Terrestrial,Diptera,Adult,10.9,46.4,5.7,-26.8
HB_Mega,PFAS095,Hop Brook,2022,Larval_Megaloptera,Invertebrate,Aquatic,Megaloptera,Larval,10.6,44.1,6.9,-27.1
HB_E_Trich,PFAS096,Hop Brook,2022,Emergent_Trichoptera,Invertebrate,Terrestrial,Trichoptera,Adult,10.1,51.1,7.3,-26.7
Burr_Plec_A,PFAS097,Burr Pond Brook,2023,Emergent_Plecoptera,Invertebrate,Terrestrial,Plecoptera,Adult,12.3,47.8,3.5,-27.8
Burr_Dip_L-1,PFAS098,Burr Pond Brook,2023,Larval_Diptera,Invertebrate,Aquatic,Diptera,Larval,9.4,49.3,1.3,-26.9
Burr_Dip_L-2,PFAS099,Burr Pond Brook,2023,Larval_Diptera,Invertebrate,Aquatic,Diptera,Larval,9.1,49.4,1.6,-26.9
Burr_Odo_L,PFAS100,Burr Pond Brook,2023,Larval_Odonata,Invertebrate,Aquatic,Odonata,Larval,10.1,50,7.4,-28.8
Burr_Dipt_A,PFAS101,Burr Pond Brook,2023,Emergent_Diptera,Invertebrate,Terrestrial,Diptera,Adult,9.7,54.9,3,-24.5
Burr_Eph_A,PFAS102,Burr Pond Brook,2023,Emergent_Ephemeroptera,Invertebrate,Terrestrial,Ephemeroptera,Adult,10.3,43.4,6.5,-29.4
Burr_Trich_A-1,PFAS103,Burr Pond Brook,2023,Emergent_Trichoptera,Invertebrate,Terrestrial,Trichoptera,Adult,12.2,51.6,8.3,-30
Burr_Trich_A-2,PFAS104,Burr Pond Brook,2023,Emergent_Trichoptera,Invertebrate,Terrestrial,Trichoptera,Adult,10.2,51.8,7.6,-28.6
Burr _Eph_L,PFAS105,Burr Pond Brook,2023,Larval_Ephemeroptera,Invertebrate,Aquatic,Ephemeroptera,Larval,9.4,43.8,4.7,-28.5
HB_tetragnathid,PFAS106,Hop Brook,2022,Spider,Invertebrate,Terrestrial,Spider,Adult,11.5,47.7,6.9,-27.1
Peq spider small - 1,PFAS110,Pequabuck River,2023,Spider,Invertebrate,Terrestrial,Spider,Adult,11.4,50.6,12.6,-24
Peq spider small - 2,PFAS111,Pequabuck River,2023,Spider,Invertebrate,Terrestrial,Spider,Adult,11.9,50.2,12.8,-24
Peq spider large,PFAS112,Pequabuck River,2023,Spider,Invertebrate,Terrestrial,Spider,Adult,10.3,52.2,13.5,-24.9
Rat spider small,PFAS113,Ratlum Brook,2022,Spider,Invertebrate,Terrestrial,Spider,Adult,10.5,47.1,6.7,-25.7
Burr spider small,PFAS114,Burr Pond Brook,2023,Spider,Invertebrate,Terrestrial,Spider,Adult,11.6,50.4,6.2,-29
Rat spider large-1,PFAS115,Ratlum Brook,2022,Spider,Invertebrate,Terrestrial,Spider,Adult,10.7,50.4,6.1,-27.4
Rat spider large-2,PFAS116,Ratlum Brook,2022,Spider,Invertebrate,Terrestrial,Spider,Adult,10.9,50.7,6.4,-27.3
Burr spider large-1,PFAS117,Burr Pond Brook,2023,Spider,Invertebrate,Terrestrial,Spider,Adult,13.3,46.9,6.4,-26.3
Burr spider large-2,PFAS118,Burr Pond Brook,2023,Spider,Invertebrate,Terrestrial,Spider,Adult,13.4,47,5.9,-27.1
Burr pleco L-1,PFAS119,Burr Pond Brook,2023,Larval_Plecoptera,Invertebrate,Aquatic,Plecoptera,Larval,9.3,48.1,3.8,-28.5
Burr pleco L-2,PFAS120,Burr Pond Brook,2023,Larval_Plecoptera,Invertebrate,Aquatic,Plecoptera,Larval,11.1,52,4.1,-27.7
Burr Trich L-1,PFAS121,Burr Pond Brook,2023,Larval_Trichoptera,Invertebrate,Aquatic,Trichoptera,Larval,9,51.4,0.6,-25.8
Burr Trich L-2,PFAS122,Burr Pond Brook,2023,Larval_Trichoptera,Invertebrate,Aquatic,Trichoptera,Larval,9.4,52.9,0.9,-25.9
