Table,Attribute name,Data Type,Description,Acceptable values or range,Value Definition,Units
Farmington_InsectMasses.csv,Year,numeric,Year of sample collection in the field,2022,,year
,,,,2023,,year
Farmington_InsectMasses.csv,Site,character,Name of sampling site,Hop Brook,,
,,,,Russel Brook,,
,,,,Pequabuck Brook,,
,,,,Ratlum Brook,,
,,,,Burr Pond Brook,,
Farmington_InsectMasses.csv,Order,character,Taxonomic order,Diptera,,
,,,,Ephemeroptera,,
,,,,Megaloptera,,
,,,,Odonata,,
,,,,Plecoptera,,
,,,,Trichoptera,,
Farmington_InsectMasses.csv,n per composite,numeric,Number of individuals in composite sample,NA or positive number,,
Farmington_InsectMasses.csv,Composite Sample Mass (ww),numeric,Wet mass of composite sample,NA or positive number,,
Farmington_InsectMasses.csv,Individual mass (ww),numeric,Mean individual wet mass (composite sample mass/n per composite),NA or positive number,,
Farmington_InsectMasses.csv,Life stage,character,Adult or larval life stage,Adult,,
,,,,Larval,,
Farmington_PFAS_FWstudy_Datarelease.csv,COC,numeric,Chain of custody number associated with analytical instrument run,Six number code,Six number code,
Farmington_PFAS_FWstudy_Datarelease.csv,CESE.ID,character,Sample identification assigned by analytical lab,Nine number code,Nine number code,
Farmington_PFAS_FWstudy_Datarelease.csv,Field.ID,character,Sample identification assigned in field by research staff,alphanumeric sample code,"alphanumeric code representing site, sample type, and sample dates",
Farmington_PFAS_FWstudy_Datarelease.csv,Site,character,Name of sampling site,Hop Brook,,
,,,,Russel Brook,,
,,,,Pequabuck Brook,,
,,,,Ratlum Brook,,
,,,,Burr Pond Brook,,
Farmington_PFAS_FWstudy_Datarelease.csv,Sample.Type,character,Type of sample,Biofilm,,
,,,,Detritus,,
,,,,Seston,,
,,,,Larval_Odonata,,
,,,,Emergent_Odonata,,
,,,,Larval_Ephemeroptera,,
,,,,Emergent_Ephemeroptera,,
,,,,Larval_Trichoptera,,
,,,,Emergent_Trichoptera,,
,,,,Larval_Plecoptera,,
,,,,Larval_Megaloptera,,
,,,,Larval_Diptera,,
,,,,Emergent_Diptera,,
,,,,Tetragnathidae,,
,,,,Sediment,,
,,,,Emergent_Plecoptera,,
,,,,Water,,
,,,,Fieldblank,,
Farmington_PFAS_FWstudy_Datarelease.csv,Collected,character,Date of sample collection in the field,6/2/2022 to 7/26/2023,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Received,character,Date sample received by the analytical lab,8/9/2022 to 7/26/2023,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Prep.Date,character,Date sample prepared for analysis,10/13/2022 to 7/28/2023,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Analysis.Date,character,Date sample analyzed,10/14/22 to 7/31/23,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Units,character,Concentration units,"ng/g ww, ng/mL",nanograms per gram wet weight for solid or tissue samples. Nanograms per milliliter for liquids.,"ng/g ww, ng/mL"
Farmington_PFAS_FWstudy_Datarelease.csv,Compound,character,Name of PFAS compound,PFBA,PFAS congener,
,,,,PFPeA,PFAS congener,
,,,,PFBS,PFAS congener,
,,,,PFHxA,PFAS congener,
,,,,X4.2FTS,PFAS congener,
,,,,PFPeS,PFAS congener,
,,,,GenX,PFAS congener,
,,,,ADONA,PFAS congener,
,,,,PFHpA,PFAS congener,
,,,,PFHxS,PFAS congener,
,,,,PFOA,PFAS congener,
,,,,PFHpS,PFAS congener,
,,,,X6.2FTS,PFAS congener,
,,,,X9Cl.PF3ONS,PFAS congener,
,,,,PFNA,PFAS congener,
,,,,PFOS,PFAS congener,
,,,,PFNS,PFAS congener,
,,,,X8.2FTS,PFAS congener,
,,,,PFDA,PFAS congener,
,,,,NMeFOSAA,PFAS congener,
,,,,PFOSA,PFAS congener,
,,,,PFDS,PFAS congener,
,,,,NEtFOSAA,PFAS congener,
,,,,X11CL.PF3OUdS,PFAS congener,
,,,,PFUnA,PFAS congener,
,,,,PFDoA,PFAS congener,
,,,,PFTrDA,PFAS congener,
,,,,PFTA,PFAS congener,
Farmington_PFAS_FWstudy_Datarelease.csv,Conc,character,Concentration measured,"ND, NM, na, numeric","ND = not detected, NM = not measured, na = not available due to sample damage",ppb
Farmington_PFAS_FWstudy_Datarelease.csv,RL,numeric,Analytical reporting limit,positive numbers,ppb,
Farmington_PFAS_FWstudy_Datarelease.csv,BRL,character,Below reporting limit,no,"Whether the concentration is below the reporting limit. Yes indicates the concentration is above the method detection limit, but below the reporting limit",
,,,,yes,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,UConn sample ID,character,Sample ID internal to UCONN,10-11 character code,"General format is site_samplenumber_sampletime, but some are variable",
Farmington_PFAS_Stable Isotopes_Datarelease.csv,USGS sample ID,character,Sample ID internal to USGS isotope lab,seven character code,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Site,character,Name of sampling site,Hop Brook,,
,,,,Russel Brook,,
,,,,Pequabuck Brook,,
,,,,Ratlum Brook,,
,,,,Burr Pond Brook,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Year,numeric,Year of sample collection in the field,2022,,year
,,,,2023,,year
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Sample type,character,Type of sample,Biofilm,,
,,,,Larval Odonata,,
,,,,EmergentEphemeroptera,,
,,,,LarvalEphemeroptera,,
,,,,Larval Plecoptera,,
,,,,Larval Trichoptera,,
,,,,Emergent Plecoptera,,
,,,,Emergent Trichoptera,,
,,,,Emergent Diptera,,
,,,,Larval Diptera,,
,,,,Emergent Odonata,,
,,,,Larval Megaloptera,,
,,,,Spider,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Media,character,General sample type,Biofilm,,
,,,,Invertebrate,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Environment,character,Aquatic or Terrestrial origin of sample,Aquatic,,
,,,,Terrestrial,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Family,character,Taxonomic classification,NA,,
,,,,Odonata,,
,,,,Ephemeroptera,,
,,,,Plecoptera,,
,,,,Trichoptera,,
,,,,Diptera,,
,,,,Megaloptera,,
,,,,Spider,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Lifestage,character,Adult or larvale life stage,NA,,
,,,,Larval,,
,,,,Adult,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,perN,numeric,Percent nitrogen,positive numbers,,percent
Farmington_PFAS_Stable Isotopes_Datarelease.csv,perC,numeric,Percent carbon,positive numbers,,percent
Farmington_PFAS_Stable Isotopes_Datarelease.csv,d15N,numeric,per mill 15N,positive or negative numbers,,per mill
Farmington_PFAS_Stable Isotopes_Datarelease.csv,d13C,numeric,per mill 13C,positive or negative numbers,,per mill
Farmington_PFAS_Survey_Datarelease.csv,COC,numeric,Chain of custody number associated with analytical instrument run,Six number code,Six number code,
Farmington_PFAS_Survey_Datarelease.csv,CESE.ID,character,Sample identification assigned by analytical lab,Nine number code,Nine number code,
Farmington_PFAS_Survey_Datarelease.csv,Field.ID,character,Sample identification assigned in field by research staff,6-7 digit character,Site and sample number,
Farmington_PFAS_Survey_Datarelease.csv,Site,character,Name of sampling site,Field blank,,
,,,,Hop Brook,,
,,,,Sandy Brook,,
,,,,Freeman Hill Brook,,
,,,,Birge Pond Brook,,
,,,,Page Park Pond,,
,,,,Chidsey Brook,,
,,,,Alsop Meadows,,
,,,,Bunnell Brook,,
,,,,Hawley Brook,,
,,,,Munnisunk Brook,,
,,,,Pequabuck River,,
,,,,Powder Mill Brook,,
,,,,Quarry Brook,,
,,,,River Island,,
,,,,Ratlum Brook,,
,,,,Roaring Brook,,
,,,,Russell Brook,,
,,,,Stratton Brook A,,
,,,,Stratton Brook B,,
,,,,Thomspon Brook,,
,,,,West Branch Salmon Brook,,
Farmington_PFAS_Survey_Datarelease.csv,Sample.Type,character,Type of sample,Field blank,,
,,,,Water,,
,,,,Groundwater,,
Farmington_PFAS_Survey_Datarelease.csv,Collected,character,Date of sample collection in the field,10/1/20 to 4/5/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Received,character,Date sample received by the analytical lab,10/6/20 to 4/14/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Prep.Date,character,Date sample prepared for analysis,10/16/20 to 4/18/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Analysis.Date,character,Date sample analyzed,10/23/20 to 4/22/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Units,character,Concentration units,ng/mL,nanogram per milliliter,ng/mL
Farmington_PFAS_Survey_Datarelease.csv,Compound,character,Name of PFAS compound,PFBS,PFAS congener,
,,,,PFHxA,PFAS congener,
,,,,PFHpA,PFAS congener,
,,,,PFHxS,PFAS congener,
,,,,PFOA,PFAS congener,
,,,,PFNA,PFAS congener,
,,,,PFOS,PFAS congener,
,,,,PFDA,PFAS congener,
,,,,NMeFOSAA,PFAS congener,
,,,,NEtFOSAA,PFAS congener,
,,,,PFUnA,PFAS congener,
,,,,PFDoA,PFAS congener,
,,,,PFTrDA,PFAS congener,
,,,,PFTA,PFAS congener,
Farmington_PFAS_Survey_Datarelease.csv,Conc,character,Concentration measured,"ND, NM, na, numeric","ND = not detected, NM = not measured, na = not available due to sample damage",ppb
Farmington_PFAS_Survey_Datarelease.csv,RL,numeric,Analytical reporting limit,positive numbers,,ppb
SiteLocations.csv,Latitude,numeric,NA,positive or negative numbers,,degrees
SiteLocations.csv,Longitude,numeric,NA,positive or negative numbers,,degrees
SiteLocations.csv,Site Type,character,NA,Stream,,
,,,,Mainstem,,
SiteLocations.csv,Site name,character,NA,Thompson Brook,,
,,,,Russell Brook,,
,,,,Roaring Brook,,
,,,,Munnisunk Brook,,
,,,,Stratton Brook A,,
,,,,Stratton Brook B,,
,,,,Hawley Brook,,
,,,,Bunnell Brook,,
,,,,Powder Mill Brook,,
,,,,Quarry Brook,,
,,,,Ratlum Brook,,
,,,,West Branch Salmon Brook,,
,,,,Sandy Brook,,
,,,,Freeman Hill Brook,,
,,,,Birge Pond Brook,,
,,,,Page Park Pond,,
,,,,Chidsey Brook,,
,,,,Pequabuck River,,
,,,,Hop Brook,,
,,,,Burr Pond Brook,,
,,,,Farmington River at River Island,,
,,,,Farmington River at Alsop Meadows,,
SiteLocations.csv,"Town in CT, USA",character,NA,Avon,,
,,,,Simsbury,,
,,,,Burlington,,
,,,,Suffield,,
,,,,Canton,,
,,,,Granby,,
,,,,Colebrook,,
,,,,Bristol,,
,,,,Torrington,,
,,,,East Granby,,
